Vic_date,Agre_date,dateStore
2019-02-19 17:59:19.548323,2019-02-19 17:59:19.318104,2019-02-19 17:59:20.215344
2019-02-19 17:59:19.536744,2019-02-19 17:59:19.303095,2019-02-19 17:59:20.252242
2019-02-19 17:59:19.552045,2019-02-19 17:59:19.323820,2019-02-19 17:59:20.253067
2019-02-19 17:59:19.536310,2019-02-19 17:59:19.306914,2019-02-19 17:59:20.253574
2019-02-19 17:59:19.549288,2019-02-19 17:59:19.319788,2019-02-19 17:59:20.254070
2019-02-19 17:59:19.550191,2019-02-19 17:59:19.321720,2019-02-19 17:59:20.254558
2019-02-19 17:59:19.547837,2019-02-19 17:59:19.316206,2019-02-19 17:59:20.255046
2019-02-19 17:59:19.539282,2019-02-19 17:59:19.305519,2019-02-19 17:59:20.255530
2019-02-19 17:59:19.545618,2019-02-19 17:59:19.315789,2019-02-19 17:59:20.256012
2019-02-19 17:59:19.546496,2019-02-19 17:59:19.314096,2019-02-19 17:59:20.256603
2019-02-19 17:59:19.553414,2019-02-19 17:59:19.310716,2019-02-19 17:59:20.257101
2019-02-19 17:59:19.539786,2019-02-19 17:59:19.309313,2019-02-19 17:59:20.257587
2019-02-19 17:59:19.550690,2019-02-19 17:59:19.317264,2019-02-19 17:59:20.258085
2019-02-19 17:59:19.533371,2019-02-19 17:59:19.302108,2019-02-19 17:59:20.258560
2019-02-19 17:59:19.554365,2019-02-19 17:59:19.319368,2019-02-19 17:59:20.259036
2019-02-19 17:59:19.546905,2019-02-19 17:59:19.312482,2019-02-19 17:59:20.259518
2019-02-19 17:59:19.552494,2019-02-19 17:59:19.318938,2019-02-19 17:59:20.259994
2019-02-19 17:59:19.545084,2019-02-19 17:59:19.313689,2019-02-19 17:59:20.329121
